Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073527;0.27044;0.028204;0.010404;0.0029868;-0.090593;-0.30042;0.28574;0.028321;0.0058527;0.0013719;-0.071134;0.084;0.25668;1.126;0;0.021;-0.024;-0.01504;0.002;-0.0708;-0.018;0.026;-0.013
5;-0.073537;0.2704;0.02821;0.010337;0.0028512;-0.09046;-0.30033;0.28584;0.028367;0.0058401;0.001309;-0.071138;0.084;0.256;1.126;0;0.021;-0.024;-0.024;0.002;-0.0312;-0.018;0.026;-0.013
10;-0.073532;0.27043;0.028207;0.010107;0.0029545;-0.090531;-0.30032;0.28584;0.028365;0.0055522;0.0016714;-0.071012;0.089;0.251;1.126;0;0.021;-0.024;-0.024;0.002;-0.026;-0.018;0.026;-0.013
15;-0.073498;0.2705;0.02818;0.0098691;0.0030025;-0.090498;-0.30041;0.28569;0.028298;0.005905;0.0013003;-0.070912;0.089;0.251;1.126;0;0.021;-0.024;-0.02296;0.002;-0.026;-0.018;0.026;-0.012896
20;-0.073505;0.27043;0.028212;0.0099036;0.0031057;-0.0906;-0.30039;0.28575;0.028307;0.0057509;0.0011633;-0.071053;0.084;0.251;1.126;0;0.020352;-0.023;-0.014;-0.000376;-0.026;-0.018;0.026;-0.012216
25;-0.07351;0.27046;0.0282;0.010079;0.0030603;-0.090546;-0.30038;0.28576;0.028289;0.0060191;0.0011856;-0.071121;0.084;0.241;1.126;0;0.020648;-0.023;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
30;-0.073531;0.27043;0.028163;0.010208;0.0029721;-0.090534;-0.30037;0.28584;0.028323;0.0056589;0.0018502;-0.071463;0.084;0.231;1.126;0;0.02;-0.023;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
35;-0.07351;0.27047;0.0282;0.0098883;0.0029974;-0.090522;-0.30035;0.28589;0.028373;0.0050852;0.002202;-0.071386;0.094;0.231;1.126;0;0.02;-0.023;-0.024;-0.009;-0.026;-0.018;0.026;-0.012216
40;-0.073498;0.27046;0.028183;0.010033;0.0030646;-0.090476;-0.30042;0.28575;0.028311;0.0055668;0.0015343;-0.071074;0.084;0.231;1.126;0;0.02;-0.023;-0.024;0.002;-0.026;-0.018;0.026;-0.013
45;-0.073525;0.27045;0.028195;0.0099375;0.0030895;-0.090507;-0.30038;0.28578;0.028343;0.005698;0.0015261;-0.071216;0.084;0.231;1.1366;0;0.02;-0.023;-0.024;-0.006624;-0.026;-0.018;0.026;-0.013
50;-0.073548;0.2704;0.028182;0.0097133;0.0032778;-0.090639;-0.30038;0.28579;0.028359;0.0057936;0.0016653;-0.071308;0.084;0.222;1.175;0;0.02;-0.023;-0.024;-0.000376;-0.026;-0.018;0.026;-0.013
55;-0.073519;0.27049;0.028199;0.0098129;0.0031629;-0.09052;-0.30035;0.28586;0.02837;0.0056131;0.0015575;-0.071349;0.084;0.222;1.175;0;0.02;-0.022;-0.024;-0.009;-0.076;-0.018;0.026;-0.012216
60;-0.073518;0.27043;0.028193;0.010138;0.0030951;-0.090486;-0.30036;0.28583;0.02835;0.0055004;0.0014581;-0.071241;0.094;0.222;1.175;0;0.02;-0.022;-0.01616;0.002;-0.076;-0.018;0.026;-0.013
65;-0.073546;0.27043;0.028217;0.0094007;0.0031555;-0.090546;-0.30044;0.2857;0.028299;0.0059847;0.0013563;-0.071256;0.094;0.212;1.175;0;0.02;-0.022;-0.02184;0.002;-0.026;-0.018;0.026;-0.013
70;-0.073557;0.27038;0.02821;0.0099949;0.0030286;-0.090548;-0.30043;0.28572;0.028326;0.0059609;0.0014021;-0.071122;0.094;0.222;1.175;0;0.02;-0.022;-0.024;0.010624;-0.026;-0.018;0.026;-0.013
75;-0.07358;0.27036;0.028181;0.010075;0.0031465;-0.090594;-0.3004;0.28579;0.028331;0.0061282;0.0009267;-0.071158;0.094;0.212;1.175;0;0.019;-0.022;-0.032624;0.004376;-0.026;-0.018;0.026;-0.012216
80;-0.073551;0.27036;0.028193;0.0097806;0.0031175;-0.09052;-0.30042;0.28578;0.028324;0.0060389;0.00077827;-0.07105;0.084;0.212;1.175;0;0.019;-0.022;-0.035;0.002;-0.026;-0.018;0.026;-0.012
85;-0.073523;0.27048;0.028212;0.0098582;0.002958;-0.090429;-0.3004;0.28578;0.028296;0.0060556;0.00083632;-0.070868;0.094;0.212;1.175;0;0.019977;-0.022;-0.035;-0.009;-0.026;-0.019;0.026;-0.012
90;-0.073557;0.27036;0.028154;0.010384;0.0030835;-0.090655;-0.30038;0.28582;0.028303;0.0059538;0.0011801;-0.071107;0.084;0.212;1.175;0;0.02;-0.022;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
95;-0.073607;0.2703;0.028144;0.010566;0.0029892;-0.0907;-0.30039;0.28584;0.028338;0.0057581;0.001414;-0.071243;0.094;0.212;1.223;0;0.019;-0.022;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
100;-0.073562;0.27036;0.028184;0.0098015;0.0032209;-0.090606;-0.30041;0.28578;0.028316;0.0058207;0.0013274;-0.071036;0.094;0.202;1.223;0;0.019;-0.022;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
105;-0.073557;0.27042;0.028167;0.01011;0.0031967;-0.090694;-0.30034;0.28585;0.028329;0.0054747;0.0016803;-0.071149;0.094;0.212;1.175;0;0.019;-0.022;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
110;-0.073608;0.27035;0.028141;0.010334;0.0030919;-0.09085;-0.30035;0.28582;0.028327;0.0057084;0.001497;-0.071088;0.10372;0.212;1.175;0;0.019;-0.022;-0.024;-0.009;-0.026;-0.018216;0.026;-0.013
115;-0.073608;0.27031;0.028133;0.010571;0.0030345;-0.090774;-0.30035;0.2858;0.028314;0.0059452;0.0013029;-0.070909;0.09428;0.212;1.175;0;0.019;-0.022;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
120;-0.073606;0.27034;0.028143;0.010665;0.0030648;-0.090964;-0.30036;0.28582;0.028321;0.0058882;0.0012062;-0.071075;0.10372;0.212;1.175;0;0.019;-0.022;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
125;-0.073565;0.27037;0.0282;0.0098227;0.0031149;-0.090778;-0.30036;0.28584;0.028354;0.0057118;0.0013133;-0.071209;0.104;0.212;1.175;0;0.019;-0.022;-0.024;-0.000376;-0.026;-0.018;0.026;-0.012
130;-0.073553;0.27036;0.028183;0.010044;0.0030598;-0.090565;-0.30033;0.28589;0.028359;0.0057711;0.0012035;-0.071307;0.104;0.21304;1.175;-0.001;0.02;-0.022;-0.024;-0.006624;-0.0368;-0.018;0.026;-0.012
135;-0.073537;0.27041;0.028222;0.0094506;0.0032495;-0.090648;-0.30035;0.2859;0.02836;0.0055777;0.0014047;-0.071332;0.094;0.212;1.175;-0.001;0.02;-0.022;-0.024;-0.01684;-0.026;-0.018;0.026;-0.012784
140;-0.073571;0.2703;0.028192;0.010162;0.0031377;-0.090773;-0.3004;0.28581;0.028314;0.0060636;0.00091398;-0.071175;0.094;0.212;1.175;-0.001;0.02;-0.022;-0.014;-0.019;-0.026;-0.018;0.026;-0.013
145;-0.07356;0.27037;0.028186;0.0102;0.0031217;-0.090691;-0.30036;0.28582;0.028347;0.0059617;0.0011973;-0.071242;0.104;0.222;1.175;-0.001;0.02;-0.022;-0.014;-0.01116;-0.0652;-0.018;0.026;-0.013
150;-0.073593;0.2703;0.028163;0.010301;0.0030927;-0.090833;-0.30037;0.28578;0.028348;0.0056263;0.0016459;-0.071194;0.10184;0.21984;1.175;-0.001;0.02;-0.023;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
155;-0.073572;0.2703;0.028186;0.010041;0.00321;-0.090848;-0.30042;0.28576;0.028323;0.0061345;0.0010944;-0.071217;0.094;0.222;1.175;-0.001;0.02;-0.023;-0.024;-0.009;-0.076;-0.018;0.026;-0.013
160;-0.073631;0.27023;0.028137;0.01054;0.0031423;-0.090966;-0.3004;0.28579;0.028348;0.0059463;0.0013138;-0.071284;0.094;0.222;1.175;-0.001;0.02;-0.023;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
165;-0.073644;0.27022;0.028158;0.010202;0.0032691;-0.091126;-0.30041;0.28576;0.028327;0.0057674;0.0016012;-0.071246;0.094;0.222;1.175;-0.001;0.02;-0.023;-0.024;0.002;-0.026;-0.018;0.026;-0.013
170;-0.073592;0.27034;0.028172;0.0095081;0.0032177;-0.090722;-0.30043;0.28572;0.028297;0.0059427;0.0013099;-0.071087;0.10048;0.212;1.175;-0.001;0.019;-0.023;-0.024;0.002;-0.0652;-0.018;0.026;-0.013
175;-0.073632;0.27027;0.028149;0.010085;0.0031928;-0.091005;-0.3004;0.28575;0.028326;0.0058674;0.0014558;-0.071151;0.094;0.222;1.175;-0.001;0.02;-0.023;-0.035;0.002;-0.076;-0.018;0.026;-0.012
180;-0.073568;0.27039;0.028178;0.0098205;0.0032125;-0.090778;-0.3004;0.28577;0.028329;0.0061269;0.0011245;-0.071116;0.099;0.212;1.175;-0.001;0.0195;-0.023;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
185;-0.073607;0.27031;0.028183;0.009795;0.0032705;-0.090879;-0.30038;0.28581;0.028332;0.0059434;0.0011217;-0.07107;0.094;0.212;1.175;-0.001;0.019;-0.022;-0.035;-0.009;-0.026;-0.018;0.026;-0.013
190;-0.073623;0.27029;0.028168;0.0097405;0.0031768;-0.090839;-0.30041;0.2858;0.028312;0.0057645;0.0012147;-0.071222;0.104;0.212;1.175;-0.001;0.019;-0.022;-0.026376;-0.019;-0.026;-0.018;0.026;-0.013
195;-0.073624;0.27028;0.028164;0.010047;0.0032562;-0.091003;-0.30042;0.28576;0.028301;0.0057197;0.0012875;-0.071071;0.104;0.21848;1.175;-0.001;0.019;-0.022;-0.032624;-0.009;-0.026;-0.018;0.026;-0.013
200;-0.073626;0.27031;0.028182;0.009719;0.0032779;-0.090951;-0.30038;0.28583;0.028328;0.0058399;0.0013784;-0.071293;0.104;0.212;1.2061;-0.001;0.019;-0.022;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
205;-0.073647;0.27025;0.028164;0.0099531;0.0032219;-0.090959;-0.30041;0.2858;0.028327;0.0059232;0.0015419;-0.071338;0.104;0.20848;1.1919;-0.001;0.019;-0.022;-0.024;-0.01116;-0.026;-0.018;0.026;-0.013
