Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
210;-0.073704;0.27014;0.028112;0.010508;0.0032868;-0.091299;-0.3004;0.28579;0.028338;0.0057186;0.0015904;-0.071234;0.104;0.20984;1.2126;-0.001;0.019;-0.022;-0.024;-0.01684;-0.0368;-0.018;0.026;-0.013
215;-0.073631;0.27027;0.028153;0.0098887;0.0033862;-0.091048;-0.30035;0.28591;0.028402;0.0051878;0.0018802;-0.07157;0.104;0.202;1.175;-0.001;0.019;-0.022;-0.02184;-0.009;-0.0652;-0.018;0.026;-0.013
220;-0.073658;0.27017;0.028152;0.010326;0.0031367;-0.090947;-0.30031;0.28594;0.02839;0.0054556;0.0015363;-0.071662;0.10638;0.202;1.175;-0.001;0.019;-0.022;-0.035;-0.01116;-0.026;-0.018;0.026;-0.013
225;-0.073653;0.27023;0.028181;0.010249;0.0030622;-0.091042;-0.30035;0.28585;0.028348;0.0059911;0.0011439;-0.071377;0.115;0.21096;1.175;-0.001;0.019;-0.022;-0.024;-0.009;-0.076;-0.018;0.026;-0.013
230;-0.073677;0.27019;0.028173;0.010242;0.0032076;-0.091168;-0.30038;0.28581;0.028353;0.0058894;0.0011182;-0.071144;0.104;0.202;1.175;-0.001;0.019;-0.022;-0.024;-0.009;-0.076;-0.018;0.026;-0.013
235;-0.073682;0.27013;0.02814;0.010448;0.0032567;-0.091147;-0.30039;0.28581;0.028349;0.0058168;0.0013397;-0.071358;0.104;0.202;1.175;-0.001;0.019;-0.022;-0.035;-0.009;-0.076;-0.018;0.026;-0.012216
240;-0.073624;0.27022;0.028164;0.009786;0.003314;-0.090978;-0.30032;0.28593;0.028373;0.0056025;0.0014763;-0.071563;0.115;0.202;1.1792;-0.001;0.018913;-0.022;-0.026376;0.002;-0.026;-0.018;0.026;-0.012784
245;-0.073682;0.2701;0.028119;0.010442;0.0031519;-0.091073;-0.30027;0.28598;0.028396;0.0051906;0.0020264;-0.071553;0.115;0.19228;1.223;-0.001;0.019;-0.022;-0.026376;0.002;-0.026;-0.018;0.026;-0.013
250;-0.073658;0.27016;0.028176;0.009789;0.003263;-0.090949;-0.30035;0.28588;0.028357;0.0057914;0.0011876;-0.071515;0.115;0.192;1.175;-0.001;0.019;-0.022;-0.024;-0.006624;-0.026;-0.018;0.026;-0.013
255;-0.073677;0.27016;0.028119;0.01062;0.0032155;-0.091115;-0.30035;0.28585;0.028385;0.0056444;0.0013555;-0.071524;0.115;0.202;1.1763;-0.001;0.019;-0.022;-0.035;0.002;-0.026;-0.018;0.026;-0.013
260;-0.073636;0.27026;0.028142;0.0098625;0.0032837;-0.090946;-0.30042;0.28576;0.028323;0.006032;0.0011936;-0.071433;0.104;0.192;1.223;-0.001;0.019;-0.022;-0.035;-0.006624;-0.026;-0.018;0.026;-0.013
265;-0.073647;0.27022;0.028143;0.010231;0.003214;-0.091033;-0.3004;0.28581;0.028318;0.0057926;0.0015499;-0.071482;0.104;0.202;1.223;-0.001;0.019;-0.022;-0.035;-0.000376;-0.026;-0.018;0.026;-0.013
270;-0.073673;0.27015;0.028149;0.0099958;0.0031643;-0.090973;-0.30035;0.28587;0.02835;0.0057961;0.0014542;-0.071393;0.115;0.192;1.223;-0.001;0.018;-0.022;-0.032624;-0.006624;-0.026;-0.018;0.026;-0.013
275;-0.073669;0.27018;0.028176;0.010121;0.0030904;-0.091037;-0.30035;0.28585;0.028328;0.0059407;0.0013189;-0.071412;0.115;0.19223;1.223;-0.001;0.018;-0.022;-0.024;-0.01548;-0.026;-0.018;0.026;-0.012
280;-0.073668;0.2702;0.028152;0.010321;0.0031369;-0.090947;-0.30037;0.2858;0.028311;0.0061607;0.0010709;-0.07143;0.115;0.192;1.223;-0.001;0.018;-0.022;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
285;-0.073669;0.27021;0.028141;0.01006;0.0032362;-0.090963;-0.30038;0.28583;0.02836;0.0058654;0.0012709;-0.071404;0.115;0.192;1.223;-0.001;0.018;-0.022;-0.035;-0.01548;-0.076;-0.018;0.026;-0.012
290;-0.073687;0.2702;0.028169;0.0096599;0.0033351;-0.091214;-0.30037;0.28581;0.028374;0.0055498;0.0016074;-0.071149;0.10431;0.192;1.223;-0.001;0.018;-0.022;-0.027872;-0.005128;-0.0436;-0.018;0.026;-0.012
295;-0.073703;0.27015;0.028145;0.010584;0.0032257;-0.091152;-0.30036;0.28584;0.028406;0.0052852;0.0021259;-0.07135;0.115;0.192;1.223;-0.001;0.018;-0.022;-0.024;-0.009;-0.026;-0.018;0.026;-0.012352
300;-0.07372;0.27012;0.028146;0.010311;0.0032363;-0.091238;-0.30035;0.28584;0.028379;0.0053984;0.0019347;-0.071401;0.115;0.19096;1.223;-0.001;0.018;-0.021;-0.024;0.002;-0.026;-0.018;0.026;-0.012
305;-0.073707;0.27017;0.028169;0.0099195;0.003282;-0.091158;-0.3004;0.28579;0.028379;0.0056211;0.0014944;-0.071397;0.11604;0.182;1.2669;-0.001;0.018;-0.021;-0.024;-0.005128;-0.076;-0.018;0.026;-0.013
310;-0.073724;0.27012;0.028182;0.0097474;0.0032751;-0.091221;-0.30043;0.28581;0.028389;0.0057426;0.0015785;-0.071612;0.115;0.182;1.272;-0.001;0.018;-0.021;-0.01752;-0.009;-0.076;-0.018;0.026;-0.012
315;-0.073707;0.27019;0.028202;0.0095774;0.0033587;-0.091099;-0.30038;0.28585;0.028374;0.0056517;0.0017133;-0.071608;0.115;0.182;1.272;-0.001;0.018;-0.021;-0.024;-0.009;-0.0584;-0.018;0.026;-0.012
320;-0.0737;0.27014;0.028169;0.009391;0.0033923;-0.091006;-0.30036;0.28588;0.028415;0.0053188;0.0018866;-0.07163;0.115;0.182;1.272;-0.001;0.018;-0.021;-0.02048;-0.005128;-0.0584;-0.018;0.026;-0.012352
325;-0.073718;0.27011;0.028124;0.0098889;0.0034725;-0.091147;-0.30038;0.28584;0.028399;0.0054166;0.0016454;-0.071501;0.115;0.172;1.272;-0.001;0.018;-0.021;-0.024;0.002;-0.0436;-0.018;0.026;-0.012
330;-0.073712;0.27019;0.028169;0.0099904;0.0031612;-0.091068;-0.30039;0.28584;0.028374;0.0057241;0.0015132;-0.07156;0.115;0.172;1.272;-0.001;0.018;-0.021;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
335;-0.0737;0.27015;0.028106;0.010369;0.0033655;-0.091166;-0.30036;0.28588;0.028385;0.0057236;0.0013162;-0.071572;0.125;0.16883;1.272;-0.001;0.018;-0.021;-0.024;-0.009;-0.026;-0.018;0.026;-0.012352
340;-0.073694;0.27024;0.028169;0.0099118;0.0032807;-0.091065;-0.30038;0.28582;0.02838;0.0056085;0.0016061;-0.071423;0.115;0.163;1.2548;-0.001;0.017352;-0.021;-0.01752;-0.009;-0.026;-0.018;0.026;-0.012648
345;-0.073741;0.27016;0.02814;0.010014;0.0033928;-0.091267;-0.30031;0.2859;0.028404;0.0054393;0.0018792;-0.071589;0.115;0.1675;1.272;-0.001;0.017;-0.02;-0.031128;-0.009;-0.026;-0.018;0.026;-0.012352
350;-0.073713;0.27011;0.028146;0.010142;0.0033268;-0.09117;-0.3003;0.28596;0.028411;0.0054178;0.0017214;-0.071816;0.125;0.163;1.272;-0.001;0.017;-0.02;-0.035;-0.009;-0.076;-0.018;0.026;-0.012
355;-0.073661;0.27016;0.028147;0.009945;0.003375;-0.090908;-0.30035;0.2859;0.02841;0.0055729;0.0016755;-0.071746;0.125;0.163;1.272;-0.001;0.017;-0.02;-0.027872;-0.01252;-0.0436;-0.018;0.026;-0.013
360;-0.073684;0.27017;0.028142;0.0097134;0.0033671;-0.090979;-0.30035;0.28588;0.02838;0.0058295;0.0013487;-0.071619;0.125;0.153;1.272;-0.001;0.017;-0.02;-0.024;-0.01252;-0.026;-0.018;0.026;-0.013
365;-0.073734;0.27006;0.028107;0.010446;0.0031969;-0.091023;-0.30034;0.28592;0.028394;0.0053989;0.0017427;-0.071705;0.11852;0.153;1.272;-0.001;0.017;-0.02;-0.024;-0.001872;-0.026;-0.018;0.026;-0.013
370;-0.073699;0.27011;0.028136;0.01013;0.0033301;-0.090979;-0.30032;0.28591;0.028421;0.0053446;0.0017554;-0.071577;0.125;0.143;1.272;-0.001;0.017;-0.019648;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
375;-0.073705;0.27014;0.028142;0.0099885;0.0033124;-0.091154;-0.30031;0.28589;0.028442;0.0054002;0.0016827;-0.071533;0.125;0.143;1.272;-0.001;0.017;-0.019;-0.014;-0.005128;-0.026;-0.018;0.026;-0.013
380;-0.073718;0.2701;0.028129;0.010031;0.0034443;-0.091166;-0.30035;0.28586;0.02842;0.0056354;0.0014916;-0.071531;0.125;0.143;1.3104;-0.001;0.017;-0.019;-0.024;-0.009;-0.026;-0.018;0.026;-0.012352
385;-0.073723;0.27011;0.028135;0.0099513;0.0033088;-0.091028;-0.30031;0.28592;0.028416;0.0054402;0.001792;-0.07162;0.125;0.133;1.321;-0.001;0.017;-0.019;-0.024;-0.009;0.0064;-0.018;0.026352;-0.012
390;-0.07377;0.26997;0.028081;0.010687;0.0033319;-0.091282;-0.30034;0.28584;0.028384;0.0056865;0.0015969;-0.071605;0.125;0.133;1.272;-0.001;0.016;-0.019;-0.02048;0.002;-0.026;-0.018;0.026;-0.012
395;-0.073722;0.27008;0.028169;0.0095686;0.0033059;-0.091026;-0.30033;0.28588;0.02841;0.0056044;0.0018191;-0.07175;0.125;0.143;1.272;-0.001;0.016;-0.019;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
400;-0.073745;0.27006;0.028156;0.0097784;0.0033527;-0.091188;-0.30029;0.28595;0.028467;0.0050328;0.0024686;-0.071816;0.125;0.133;1.2771;-0.001;0.016;-0.019;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
405;-0.073774;0.26999;0.028127;0.010056;0.0034866;-0.091329;-0.30035;0.28586;0.02841;0.005851;0.0015388;-0.071772;0.125;0.13196;1.321;-0.001;0.016;-0.019;-0.014;-0.009;-0.026;-0.018;0.026;-0.012
410;-0.073767;0.27008;0.028127;0.010208;0.0033979;-0.09125;-0.30036;0.28582;0.028405;0.0058461;0.0014622;-0.071527;0.125;0.123;1.321;-0.001;0.016;-0.019;-0.01752;-0.009;-0.026;-0.018;0.026;-0.013
415;-0.073779;0.27006;0.028134;0.0099752;0.0033488;-0.091297;-0.30031;0.28589;0.028456;0.0054459;0.0018287;-0.07163;0.125;0.123;1.321;-0.001;0.016;-0.018;-0.014;-0.009;-0.026;-0.018;0.026;-0.012
420;-0.073727;0.27011;0.028145;0.0097791;0.003399;-0.091071;-0.30031;0.28593;0.028468;0.0053089;0.0019563;-0.071762;0.135;0.12272;1.321;-0.001;0.016;-0.018;-0.014;-0.005128;-0.026;-0.018;0.026;-0.013
425;-0.073743;0.27011;0.028178;0.0094059;0.0034367;-0.091078;-0.30033;0.28588;0.028451;0.0054303;0.0017635;-0.071589;0.135;0.113;1.321;-0.001;0.016;-0.018;-0.014;-0.009;-0.026;-0.018;0.026;-0.012352
430;-0.073789;0.27001;0.028121;0.01027;0.0033851;-0.091272;-0.30032;0.28588;0.02842;0.005493;0.0014592;-0.071516;0.125;0.113;1.321;-0.001;0.016;-0.018;-0.024;-0.009;-0.0584;-0.018;0.026;-0.012352
435;-0.073764;0.2701;0.028173;0.0093729;0.003494;-0.091064;-0.30035;0.28585;0.028372;0.0057912;0.0014258;-0.071575;0.125;0.104;1.37;-0.001;0.015;-0.018;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
440;-0.073786;0.26998;0.028124;0.0096449;0.0035267;-0.09114;-0.30038;0.2858;0.028359;0.0059762;0.0013173;-0.071382;0.125;0.094;1.37;-0.001;0.015;-0.018;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
445;-0.073769;0.27;0.028129;0.0099438;0.0034108;-0.091006;-0.30039;0.28581;0.028382;0.0059315;0.0014981;-0.071573;0.125;0.094;1.321;-0.001;0.015;-0.017;-0.024;-0.009;-0.026;-0.018;0.026;-0.012648
450;-0.073797;0.26999;0.028152;0.0096783;0.0034794;-0.091235;-0.30039;0.28579;0.028384;0.0057101;0.0015747;-0.071497;0.135;0.08428;1.321;-0.001;0.015;-0.017;-0.024;-0.009;-0.026;-0.018;0.026;-0.012648
455;-0.073806;0.27;0.028158;0.0094287;0.0034298;-0.091104;-0.30036;0.28586;0.0284;0.0054952;0.0017191;-0.071592;0.135;0.084;1.37;-0.001;0.015;-0.017;-0.031128;-0.009;-0.026;-0.018;0.026;-0.012648
460;-0.073785;0.27003;0.028122;0.0097238;0.0034501;-0.091055;-0.30035;0.28587;0.028432;0.0053869;0.0020008;-0.071567;0.135;0.084;1.37;-0.001;0.014;-0.017;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
465;-0.073801;0.26994;0.028105;0.0097218;0.0035989;-0.091064;-0.30035;0.28584;0.028404;0.0056062;0.0016365;-0.071449;0.135;0.074;1.37;-0.001;0.014;-0.016;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
470;-0.073762;0.27;0.028127;0.0095973;0.0034783;-0.090802;-0.30032;0.28586;0.028399;0.0053803;0.0019747;-0.071459;0.135;0.074;1.37;-0.001;0.014;-0.016;-0.031128;0.002;-0.026;-0.018;0.026;-0.013
475;-0.073795;0.26994;0.028104;0.0098968;0.0035598;-0.091008;-0.30032;0.28586;0.028433;0.0051352;0.0023962;-0.071664;0.135;0.064;1.37;-0.001;0.014;-0.016;-0.035;0.002;-0.0584;-0.018;0.026;-0.013
480;-0.073753;0.26997;0.028124;0.0094924;0.003854;-0.091008;-0.30028;0.28594;0.028473;0.0049723;0.0023725;-0.071786;0.135;0.054;1.37;-0.001;0.014;-0.015;-0.035;0.002;-0.076;-0.018;0.026;-0.012352
485;-0.073791;0.26998;0.02813;0.009514;0.0037466;-0.09113;-0.3003;0.28592;0.02845;0.0052379;0.0017428;-0.071679;0.12716;0.052056;1.37;-0.001;0.014;-0.015;-0.027872;0.002;-0.0436;-0.018;0.026;-0.012648
490;-0.073806;0.26986;0.02808;0.0096859;0.0037468;-0.09101;-0.30036;0.28584;0.02839;0.0058401;0.0013393;-0.071579;0.135;0.054;1.37;-0.001;0.013;-0.015;-0.024;-0.001872;-0.0436;-0.018;0.026;-0.012
495;-0.073831;0.26984;0.028079;0.010187;0.0033752;-0.090987;-0.30034;0.28586;0.028396;0.0055728;0.0016688;-0.071654;0.13284;0.045;1.37;-0.001;0.013;-0.015;-0.024;-0.009;-0.026;-0.018;0.026;-0.012648
500;-0.073801;0.26992;0.028095;0.0097295;0.0038384;-0.091024;-0.30031;0.28586;0.028391;0.0054923;0.0017939;-0.071575;0.135;0.03852;1.37;-0.001;0.013;-0.014352;-0.024;0.002;-0.026;-0.018;0.026;-0.013
505;-0.073768;0.27;0.028124;0.0094525;0.0037052;-0.090939;-0.30036;0.28578;0.028373;0.005732;0.0014168;-0.071461;0.125;0.025;1.37;-0.001;0.013;-0.014;-0.024;0.002;-0.026;-0.018;0.026;-0.013
510;-0.073768;0.26992;0.028105;0.0094709;0.0038975;-0.090859;-0.30032;0.28586;0.028373;0.0057741;0.0012311;-0.071553;0.11852;-0.00148;1.418;0;0.013;-0.013352;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
515;-0.073721;0.27003;0.028149;0.0088933;0.0037887;-0.090552;-0.30032;0.28588;0.028349;0.0058627;0.0011601;-0.071567;0.099;-0.005;1.4425;0.001;0.012;-0.013;-0.02048;-0.009;-0.026;-0.018;0.026;-0.013
520;-0.073745;0.26999;0.028168;0.0081764;0.00432;-0.090893;-0.30025;0.28599;0.028411;0.0055391;0.001604;-0.071786;0.06775;0.073936;1.5884;0.003;0.0095;-0.013;-0.006872;-0.009;-0.026;-0.018;0.026;-0.013
525;-0.073796;0.26989;0.028154;0.0085215;0.0043004;-0.090909;-0.30026;0.28599;0.028448;0.005143;0.0021725;-0.072108;0.03925;0.12925;1.7345;0.006625;0.0075;-0.013;-0.024;0.002;-0.026;-0.018;0.026;-0.013
530;-0.073731;0.26999;0.028181;0.007986;0.0043168;-0.090499;-0.3003;0.28594;0.028415;0.0053323;0.0020498;-0.072073;0.002;0.079356;1.808;0.008;0.006;-0.011;-0.014;-0.0042479;-0.026;-0.018;0.026;-0.013
535;-0.073773;0.26992;0.028142;0.0083623;0.0041564;-0.090853;-0.30032;0.28588;0.028384;0.0055892;0.0014286;-0.071666;-0.018;0.01052;1.759;0.008;0.006;-0.009;-0.014;-0.0035;-0.026;-0.018;0.026;-0.013
