Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073772;0.27021;0.028088;0.0085415;0.0029589;-0.091449;-0.30066;0.28602;0.028425;0.0051183;0.0022602;-0.07157;0.155;0.566;0.736;-0.002648;0.034648;-0.04;-0.068;0.002;-0.1005;-0.018;0.025;-0.013
5;-0.073737;0.27026;0.028085;0.0082963;0.0030217;-0.091316;-0.30065;0.28601;0.028395;0.005382;0.0019157;-0.071469;0.155;0.566;0.736;-0.003;0.034;-0.04;-0.0625;0.0075;-0.125;-0.018;0.0245;-0.013
10;-0.07373;0.27029;0.028126;0.0075;0.0030512;-0.09113;-0.30073;0.28596;0.028384;0.0055257;0.0014139;-0.071547;0.155;0.566;0.712;-0.003;0.0345;-0.04;-0.0515;0.0075;-0.1005;-0.018;0.0245;-0.013
15;-0.073786;0.27022;0.028091;0.0080634;0.0029651;-0.091348;-0.3007;0.28598;0.028419;0.0053385;0.0016376;-0.071531;0.155;0.566;0.736;-0.003;0.035;-0.04;-0.057;0.0075;-0.1005;-0.018;0.025;-0.013
20;-0.073775;0.27025;0.028084;0.0083142;0.0030573;-0.091293;-0.30069;0.28603;0.028414;0.0051889;0.0019441;-0.071621;0.155;0.56917;0.736;-0.003;0.035;-0.04;-0.0625;0.002;-0.125;-0.018;0.025;-0.013
25;-0.073743;0.27029;0.028071;0.0083256;0.0031519;-0.091243;-0.30068;0.28602;0.028441;0.0049824;0.0021981;-0.071575;0.166;0.575;0.736;-0.003;0.035;-0.04;-0.057;0.002;-0.1005;-0.018;0.025;-0.013
30;-0.073786;0.27019;0.028069;0.0082749;0.0029652;-0.09132;-0.3007;0.28596;0.028419;0.0052477;0.0016876;-0.071367;0.155;0.575;0.736;-0.003;0.035;-0.04;-0.057;0.0075;-0.076;-0.018;0.025;-0.013
35;-0.073776;0.2702;0.028061;0.008494;0.0029133;-0.091378;-0.30068;0.28603;0.028457;0.0050803;0.001868;-0.071618;0.155;0.575;0.688;-0.003;0.035;-0.04;-0.057;0.013;-0.076;-0.018;0.025;-0.013
40;-0.073774;0.27026;0.028079;0.0081063;0.0032088;-0.09142;-0.30072;0.286;0.028424;0.0054397;0.0016596;-0.07169;0.155;0.575;0.688;-0.003;0.035;-0.04;-0.0625;0.002;-0.076;-0.018;0.025;-0.013
45;-0.073753;0.27029;0.028106;0.007612;0.0033208;-0.091362;-0.30075;0.28593;0.028383;0.0059224;0.001259;-0.071488;0.15284;0.575;0.688;-0.003;0.035;-0.04;-0.068;0.013;-0.026;-0.018;0.025;-0.013
50;-0.073768;0.27026;0.028097;0.0082142;0.0030427;-0.091268;-0.30076;0.28591;0.028367;0.0057759;0.0013044;-0.071402;0.155;0.575;0.688;-0.003;0.035;-0.04;-0.068;0.0075;-0.076;-0.018;0.025;-0.012
55;-0.073699;0.27038;0.028121;0.0074218;0.0029638;-0.090885;-0.30072;0.286;0.028385;0.0054808;0.0013894;-0.071537;0.155;0.575;0.688;-0.003;0.035;-0.04;-0.068;0.002;-0.076;-0.018;0.025;-0.012
