Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073579;0.2704;0.028158;0.0089067;0.0034367;-0.091113;-0.3002;0.28608;0.028445;0.0050226;0.0017773;-0.071758;0.084;0.477;0.785;-0.001;0.029;-0.035;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
5;-0.073596;0.2703;0.028171;0.0092844;0.0033157;-0.091009;-0.30026;0.28596;0.028416;0.0053042;0.0015327;-0.071574;0.087005;0.477;0.785;-0.002;0.029;-0.035;-0.0295;-0.009;-0.026;-0.018;0.025;-0.012
10;-0.073645;0.27022;0.02811;0.0094491;0.003363;-0.091264;-0.30023;0.286;0.028462;0.0049578;0.002114;-0.071718;0.094;0.477;0.785;-0.001;0.03;-0.035;-0.024;-0.009;-0.026;-0.018;0.026;-0.0125
15;-0.073662;0.2702;0.02812;0.0095302;0.00324;-0.091163;-0.30024;0.28603;0.028461;0.0049907;0.0021393;-0.071905;0.084;0.477;0.785;-0.001;0.03;-0.035;-0.024;-0.0035;-0.026;-0.018;0.026;-0.012
20;-0.073637;0.27023;0.028126;0.0093034;0.0033471;-0.091152;-0.30029;0.28597;0.028425;0.0053142;0.0018887;-0.071794;0.094;0.477;0.785;-0.001;0.03;-0.035;-0.019;-0.0035;-0.026;-0.018;0.026;-0.0125
25;-0.073654;0.2702;0.02812;0.0094561;0.0033612;-0.091189;-0.30026;0.28599;0.028448;0.0050999;0.0018625;-0.071707;0.084;0.487;0.785;-0.0015;0.03;-0.036;-0.014;0.002;-0.026;-0.018;0.026;-0.0125
30;-0.07366;0.27024;0.028116;0.0094736;0.003257;-0.091203;-0.30026;0.28598;0.028446;0.0047652;0.0020304;-0.071621;0.084;0.487;0.785;-0.001;0.03;-0.036;-0.014;-0.0035;-0.026;-0.018;0.026;-0.013
35;-0.07365;0.27026;0.028121;0.0095312;0.0033486;-0.091325;-0.30027;0.28601;0.028446;0.0049423;0.0019366;-0.071828;0.084;0.497;0.785;-0.001;0.03;-0.036;-0.024;-0.0035;-0.026;-0.018;0.026;-0.012
40;-0.07365;0.27023;0.028092;0.0098732;0.0033666;-0.091209;-0.30026;0.28603;0.028433;0.0051989;0.0018821;-0.071858;0.084;0.497;0.785;-0.001;0.03;-0.036;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
45;-0.07365;0.27023;0.028092;0.009855;0.0032157;-0.091171;-0.30024;0.286;0.028443;0.0050252;0.0019822;-0.071695;0.084;0.487;0.785;-0.002;0.03;-0.036;-0.024;0.002;-0.026;-0.018;0.026;-0.012
50;-0.073621;0.27024;0.028094;0.0094935;0.0033515;-0.091058;-0.30025;0.28601;0.028494;0.0047928;0.0021061;-0.071653;0.084;0.487;0.785;-0.001352;0.03;-0.036;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
55;-0.073632;0.27025;0.02811;0.0095186;0.0032438;-0.091019;-0.30027;0.28596;0.028462;0.0050274;0.001918;-0.071592;0.084;0.487;0.785;-0.001;0.03;-0.036;-0.0295;0.002;-0.026;-0.018;0.026;-0.012
60;-0.073649;0.27022;0.028086;0.0095635;0.0033764;-0.091137;-0.30026;0.28597;0.028416;0.0054743;0.0014593;-0.071714;0.084;0.487;0.77442;-0.001784;0.03;-0.036;-0.024;0.002;-0.026;-0.018;0.026;-0.013
65;-0.073654;0.27017;0.028066;0.0095679;0.0033768;-0.091111;-0.30019;0.28607;0.028479;0.0047209;0.0023918;-0.071863;0.084;0.48916;0.736;-0.002;0.03;-0.036;-0.024;-0.0035;-0.026;-0.018;0.026;-0.0125
70;-0.073606;0.2703;0.028111;0.0093312;0.0032871;-0.090986;-0.30021;0.28603;0.028475;0.0045873;0.0023239;-0.071768;0.084;0.487;0.785;-0.002;0.03;-0.036;-0.035;-0.009;-0.026;-0.018;0.026;-0.012
75;-0.073635;0.27025;0.028102;0.0092435;0.0034474;-0.091232;-0.30028;0.28595;0.028428;0.0049269;0.0019568;-0.071548;0.084;0.487;0.736;-0.002;0.03;-0.036;-0.0295;0.002;-0.026;-0.0185;0.026;-0.012
80;-0.07364;0.27022;0.028102;0.0095056;0.0033938;-0.091234;-0.30025;0.286;0.028438;0.0049514;0.0020979;-0.071719;0.084;0.487;0.785;-0.001;0.03;-0.036;-0.035;-0.0035;-0.026;-0.018;0.026;-0.012
85;-0.073635;0.27021;0.02812;0.0092891;0.0034478;-0.091246;-0.30024;0.28601;0.028433;0.0051733;0.0017454;-0.0719;0.094;0.487;0.785;-0.001;0.03;-0.036;-0.024;0.002;-0.026;-0.018;0.026;-0.0125
90;-0.073624;0.27024;0.028102;0.0094166;0.0033586;-0.091097;-0.30025;0.28598;0.028411;0.0053136;0.0016082;-0.071899;0.094;0.477;0.74027;-0.0010872;0.03;-0.035087;-0.024;-0.0035;-0.026;-0.018;0.026;-0.012
95;-0.073625;0.27028;0.028131;0.0092381;0.0032532;-0.091197;-0.30027;0.2859;0.028371;0.0055236;0.0014573;-0.071604;0.094;0.48672;0.736;-0.001;0.03;-0.036;-0.024;-0.009;-0.026;-0.018;0.026;-0.0125
100;-0.073675;0.27019;0.028102;0.0094174;0.0033567;-0.091374;-0.30024;0.28597;0.028427;0.0052305;0.0018503;-0.07173;0.094;0.487;0.736;-0.001;0.03;-0.036;-0.014;-0.009;-0.026;-0.018;0.026;-0.013
105;-0.07362;0.27027;0.028141;0.0092621;0.0034059;-0.091287;-0.30027;0.28592;0.02845;0.0052052;0.0019166;-0.071633;0.084;0.477;0.785;-0.002;0.03;-0.036;-0.014;-0.009;-0.026;-0.018;0.026;-0.012
110;-0.07363;0.2703;0.028137;0.009194;0.0032643;-0.091148;-0.30029;0.28585;0.028426;0.0053022;0.0018567;-0.071454;0.094;0.477;0.785;-0.002;0.03;-0.036;-0.014;-0.014;-0.026;-0.018;0.026;-0.0125
115;-0.073652;0.27018;0.02811;0.0091924;0.0034177;-0.091271;-0.30024;0.28596;0.028438;0.0049912;0.0022408;-0.071803;0.094;0.487;0.785;-0.001;0.03;-0.036;-0.014;0.002;-0.026;-0.018;0.026;-0.0125
120;-0.073602;0.27028;0.028163;0.0090495;0.0032516;-0.090982;-0.30025;0.28593;0.028416;0.005336;0.0016853;-0.071618;0.094;0.487;0.785;-0.001;0.03;-0.036;-0.024;-0.009;-0.026;-0.018;0.026;-0.013
125;-0.073619;0.27029;0.028174;0.0087258;0.0035312;-0.091241;-0.3003;0.28588;0.028395;0.0053461;0.0015691;-0.071405;0.084233;0.487;0.785;-0.002;0.03;-0.036;-0.024;-0.014;-0.026;-0.018;0.026;-0.013
130;-0.073652;0.27019;0.028121;0.0090134;0.0034582;-0.091242;-0.30029;0.28589;0.028374;0.0053361;0.0017689;-0.071512;0.094;0.487;0.785;-0.002;0.03;-0.036;-0.024;-0.014;-0.026;-0.018;0.026;-0.013
135;-0.073684;0.27016;0.028076;0.0098091;0.003169;-0.09126;-0.30028;0.28589;0.028395;0.0053039;0.0017378;-0.071483;0.094;0.48728;0.785;-0.002;0.03;-0.036;-0.0295;-0.009;-0.026;-0.018;0.026;-0.013
140;-0.073712;0.27016;0.028075;0.0096498;0.0032989;-0.091422;-0.30028;0.28596;0.028432;0.0052818;0.0015691;-0.071618;0.094;0.487;0.785;-0.002;0.03;-0.036;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
145;-0.07369;0.27024;0.028109;0.0092866;0.0034922;-0.091488;-0.30033;0.2859;0.028402;0.0055933;0.0013564;-0.07147;0.08504;0.487;0.785;-0.002;0.03;-0.036;-0.0295;-0.009;-0.026;-0.018;0.026;-0.012
150;-0.073634;0.27033;0.028131;0.0091635;0.0033727;-0.091264;-0.3003;0.2859;0.028405;0.0053026;0.0017363;-0.071465;0.084;0.487;0.785;-0.002;0.03;-0.036;-0.024;-0.009;-0.026;-0.018;0.026;-0.012
155;-0.073695;0.27016;0.02807;0.0097864;0.0032724;-0.091322;-0.30031;0.28589;0.028405;0.00548;0.0016482;-0.071551;0.094;0.487;0.785;-0.002;0.03;-0.036;-0.024;-0.0035;-0.026;-0.018;0.026;-0.012
160;-0.073638;0.27034;0.028148;0.0089999;0.0033103;-0.091099;-0.30037;0.28584;0.028382;0.005598;0.001359;-0.071541;0.094;0.47916;0.785;-0.001784;0.03;-0.036;-0.024;-0.0035;-0.026;-0.018;0.026;-0.012
165;-0.073638;0.27024;0.028085;0.0093924;0.0035141;-0.091179;-0.30029;0.28596;0.028422;0.0053149;0.0017162;-0.071847;0.094;0.477;0.785;-0.002;0.03;-0.035;-0.024;0.002;-0.026;-0.018;0.026;-0.012
