Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073881;0.27016;0.028232;0.0077085;0.0026192;-0.091247;-0.30084;0.28591;0.028471;0.0054562;0.0014943;-0.07122;0.115;0.241;1.175;-0.002;0.021;-0.023;-0.046;-0.009;-0.076;-0.018;0.025;-0.012
5;-0.073938;0.27006;0.028191;0.0078939;0.0026602;-0.091471;-0.30082;0.28593;0.028496;0.005363;0.0016631;-0.0713;0.115;0.231;1.175;-0.002;0.021;-0.023;-0.046;0.002;-0.076;-0.018;0.025;-0.012
10;-0.073916;0.2701;0.028167;0.0086947;0.0024789;-0.091315;-0.30083;0.28595;0.028471;0.0055388;0.0014412;-0.071168;0.125;0.241;1.175;-0.002;0.022;-0.023;-0.046;-0.008692;-0.076;-0.018;0.025;-0.012
15;-0.073876;0.27022;0.028224;0.0079251;0.0025598;-0.091123;-0.30081;0.28596;0.028492;0.0054422;0.0016039;-0.071177;0.115;0.241;1.175;-0.002;0.022;-0.023;-0.057;0.002;-0.076;-0.018;0.025;-0.012
20;-0.073882;0.27022;0.028231;0.0078514;0.0024266;-0.091216;-0.30083;0.28593;0.028499;0.0054254;0.001645;-0.071269;0.115;0.251;1.175;-0.002;0.022;-0.023972;-0.057;0.002;-0.076;-0.018;0.025;-0.012
25;-0.073906;0.27015;0.028224;0.0077476;0.0024968;-0.091359;-0.30079;0.28602;0.028506;0.0053386;0.0016795;-0.071404;0.11528;0.251;1.175;-0.002;0.022;-0.024;-0.046;0.002;-0.076;-0.018;0.025;-0.012
30;-0.073911;0.27016;0.028229;0.0076254;0.002678;-0.091449;-0.30075;0.28609;0.02854;0.0050755;0.0019968;-0.071581;0.12472;0.261;1.175;-0.002;0.022;-0.024;-0.046;0.002;-0.076;-0.018;0.025;-0.012
35;-0.073892;0.2702;0.028242;0.0073247;0.0026461;-0.091245;-0.30077;0.28603;0.028505;0.0051564;0.0021401;-0.071473;0.115;0.261;1.1311;-0.002;0.022;-0.024;-0.046;0.002;-0.076;-0.018;0.025;-0.012
40;-0.0739;0.27015;0.028229;0.0078931;0.0026235;-0.091408;-0.30072;0.28603;0.028505;0.0050019;0.0023905;-0.071252;0.115;0.271;1.126;-0.002;0.022;-0.024;-0.046;0.002;-0.076;-0.018;0.025;-0.012
45;-0.073917;0.27009;0.028172;0.0082127;0.0026843;-0.091453;-0.30072;0.28607;0.028538;0.0048857;0.0023027;-0.07144;0.115;0.271;1.126;-0.002;0.022104;-0.024;-0.057;-0.008692;-0.076;-0.018;0.025;-0.012
50;-0.073895;0.2702;0.028252;0.0074323;0.0026751;-0.091406;-0.30077;0.28604;0.02854;0.0050667;0.0018349;-0.071541;0.10601;0.271;1.126;-0.002;0.022817;-0.024183;-0.056692;0.001692;-0.076;-0.018;0.025;-0.012
55;-0.073918;0.27009;0.028194;0.0082075;0.002637;-0.091469;-0.30078;0.286;0.028487;0.0057133;0.0010748;-0.071428;0.115;0.281;1.126;-0.002;0.023;-0.025;-0.046;0.002;-0.076;-0.018;0.025;-0.012
60;-0.073911;0.27006;0.028195;0.008268;0.0024742;-0.091187;-0.30072;0.2861;0.028538;0.0050937;0.0018721;-0.07162;0.115;0.281;1.126;-0.002;0.023;-0.025;-0.057;0.002;-0.12363;-0.018;0.025;-0.012
65;-0.073933;0.27011;0.028189;0.0086754;0.0024325;-0.091443;-0.30075;0.28606;0.028538;0.0050448;0.0020559;-0.071621;0.115;0.29;1.126;-0.002;0.023;-0.025;-0.056692;-0.009;-0.076;-0.018;0.025;-0.012
70;-0.073937;0.2701;0.028199;0.0085171;0.0025159;-0.091558;-0.30073;0.2861;0.028545;0.0050035;0.0021141;-0.07165;0.115;0.29;1.126;-0.002;0.023;-0.025;-0.057;-0.009;-0.076;-0.018;0.025;-0.012
75;-0.073896;0.27017;0.028251;0.0079643;0.002453;-0.09132;-0.30074;0.2861;0.028546;0.0050008;0.0022232;-0.07177;0.115;0.29;1.126;-0.002;0.023;-0.025;-0.046308;0.002;-0.076;-0.018;0.025;-0.012
80;-0.073918;0.27014;0.028264;0.0070825;0.002755;-0.091532;-0.3008;0.28596;0.028495;0.0053914;0.0017004;-0.071408;0.115;0.29;1.1432;-0.002;0.023;-0.025;-0.046308;0.002;-0.076;-0.018;0.025;-0.012
85;-0.073936;0.27011;0.028185;0.0081915;0.0025895;-0.09156;-0.30077;0.28598;0.028489;0.0053716;0.0015203;-0.071346;0.1095;0.29;1.126;-0.002;0.023;-0.025;-0.035308;0.002;-0.076;-0.018;0.025;-0.012
90;-0.073926;0.27011;0.028229;0.0077113;0.0025531;-0.091524;-0.30075;0.28605;0.028517;0.0053407;0.0014798;-0.071581;0.1095;0.29;1.126;-0.002;0.023;-0.025;-0.045692;-0.009;-0.076;-0.018;0.025;-0.012
95;-0.073897;0.27018;0.028259;0.0072907;0.0026054;-0.091433;-0.30074;0.286;0.028507;0.0052963;0.0016627;-0.071401;0.115;0.29;1.126;-0.002;0.023;-0.025;-0.046;0.002;-0.026;-0.018;0.025;-0.012
100;-0.07384;0.2702;0.028243;0.0071579;0.002686;-0.091181;-0.30079;0.28594;0.028479;0.0053914;0.0015022;-0.071225;0.104;0.29;1.126;-0.002;0.023;-0.025;-0.046;0.002;-0.076;-0.018;0.025;-0.012
105;-0.07392;0.27011;0.02818;0.0085043;0.0024725;-0.0915;-0.30076;0.28601;0.028502;0.0049925;0.002038;-0.071339;0.104;0.29;1.1578;-0.002;0.023;-0.025;-0.046;-0.008692;-0.026;-0.018;0.025;-0.012
110;-0.073885;0.27011;0.028169;0.0083313;0.0026122;-0.091338;-0.30079;0.28593;0.028461;0.0054221;0.0018181;-0.071306;0.104;0.29;1.126;-0.002;0.023;-0.025;-0.056692;-0.009;-0.026;-0.018;0.025;-0.012
