Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073157;0.27183;0.027683;0.016322;0.0026568;-0.087765;-0.29994;0.28622;0.02851;0.005273;0.0010738;-0.072706;-0.038;0.094;1.321;0;0.011;-0.013;0.0016778;-0.009;-0.026;-0.019;0.027;-0.012
5;-0.073181;0.27184;0.027668;0.016463;0.0028667;-0.088103;-0.29999;0.28612;0.028514;0.00541;0.00097426;-0.072487;-0.038;0.084;1.321;0;0.010352;-0.013;0.0016778;-0.009;-0.026;-0.019;0.027;-0.012
10;-0.073162;0.2719;0.02776;0.015423;0.0028125;-0.087881;-0.29999;0.28617;0.028522;0.0053887;0.00081349;-0.072645;-0.038;0.084;1.321;0;0.011;-0.013;-0.003;-0.009;-0.026;-0.019;0.027;-0.012
15;-0.073178;0.27189;0.027744;0.015827;0.0027788;-0.087955;-0.29996;0.28624;0.02851;0.0055658;0.00061283;-0.07286;-0.038;0.094;1.37;0;0.01;-0.013;0.008;-0.009;0.0027375;-0.019;0.027575;-0.012
20;-0.073177;0.2719;0.027726;0.01602;0.0025762;-0.08779;-0.29996;0.28624;0.028499;0.0055085;0.00069761;-0.07278;-0.038;0.094;1.321;0;0.011;-0.013;0.008;-0.009;0.024;-0.019;0.028;-0.012
25;-0.073182;0.2719;0.027731;0.016253;0.0025811;-0.08786;-0.29996;0.28625;0.028514;0.0054615;0.00096309;-0.072838;-0.038;0.094;1.321;0;0.011;-0.013;0.0015148;-0.009;0.024;-0.019;0.028;-0.01241
30;-0.073141;0.27195;0.027737;0.015601;0.0028214;-0.087704;-0.29996;0.28623;0.028509;0.0053592;0.00093815;-0.072622;-0.049;0.094;1.321;0;0.011;-0.013;-0.003;0.002;-0.026;-0.019;0.028;-0.012
35;-0.073193;0.2719;0.02775;0.015777;0.002794;-0.088012;-0.29999;0.28621;0.028515;0.0054905;0.00073897;-0.072714;-0.049;0.10019;1.321;0;0.011;-0.013;-0.003;-0.0025148;0.024;-0.019;0.028;-0.012
40;-0.07319;0.27187;0.027729;0.015958;0.0027538;-0.087934;-0.29998;0.28624;0.028539;0.0053052;0.00085724;-0.072775;-0.038;0.094;1.321;0;0.01;-0.013;0.0015148;-0.009;0.044111;-0.019;0.028;-0.012
45;-0.073197;0.27187;0.027716;0.016389;0.0025537;-0.08788;-0.30001;0.2862;0.028518;0.0053505;0.0008771;-0.072787;-0.045653;0.094;1.321;0;0.011;-0.013;-0.003;-0.009;0.024;-0.019;0.028;-0.012
