Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073561;0.27047;0.028256;0.0090142;0.0029449;-0.090805;-0.30041;0.28583;0.028365;0.005238;0.0015245;-0.071108;0.084;0.408;0.98;-0.001;0.026;-0.03;-0.024;0.002;-0.026;-0.019;0.025;-0.012
5;-0.073583;0.27041;0.028292;0.008982;0.0027152;-0.090761;-0.30045;0.28579;0.028365;0.0051516;0.0015734;-0.070964;0.074;0.399;0.98;-0.001;0.026;-0.03;-0.024;0.002;-0.026;-0.019;0.026;-0.012
10;-0.073576;0.27042;0.028305;0.0086877;0.002682;-0.090651;-0.3005;0.28568;0.028326;0.0056051;0.0011396;-0.07085;0.074;0.399;0.98;-0.001;0.026;-0.03;-0.024;0.002;-0.026;-0.019;0.026;-0.013
15;-0.073552;0.27039;0.028285;0.0087848;0.0029575;-0.090571;-0.30052;0.28567;0.028285;0.006092;0.00071876;-0.071006;0.074;0.39796;0.98;-0.001;0.025;-0.03;-0.024;-0.009;-0.026;-0.019;0.026;-0.013
20;-0.073566;0.27044;0.028285;0.0088732;0.0029879;-0.090813;-0.30045;0.2858;0.028318;0.0057126;0.00093153;-0.071125;0.074;0.399;0.98;-0.001;0.025;-0.03;-0.024;-0.009;-0.026;-0.019;0.026;-0.013
25;-0.07356;0.27038;0.028298;0.0083195;0.0029671;-0.090777;-0.30045;0.2858;0.028342;0.005368;0.0015905;-0.071171;0.074;0.389;0.98;-0.001;0.025;-0.03;-0.024;-0.009;-0.026;-0.019;0.026;-0.013
30;-0.073582;0.27034;0.028275;0.008622;0.0030453;-0.090875;-0.30042;0.28582;0.028365;0.0052229;0.0018411;-0.071216;0.06428;0.38872;0.98;-0.001;0.025;-0.029;-0.035;-0.009;-0.026;-0.019;0.026;-0.013
35;-0.073623;0.27033;0.028245;0.0094874;0.0028412;-0.091019;-0.30048;0.28577;0.028331;0.0056158;0.001196;-0.071201;0.074;0.379;0.98;-0.001;0.025028;-0.029;-0.035;-0.009;-0.026;-0.018;0.026;-0.013
40;-0.073566;0.27045;0.02829;0.0091505;0.0027215;-0.090679;-0.3005;0.28569;0.02829;0.0059692;0.0010123;-0.071041;0.074;0.38872;0.98;-0.001;0.025;-0.029;-0.024;0.002;-0.026;-0.019;0.026;-0.013
45;-0.07357;0.27042;0.028264;0.008788;0.0030019;-0.090761;-0.30043;0.2858;0.02835;0.0052049;0.0017735;-0.071224;0.074;0.389;0.98;-0.001;0.025;-0.029;-0.014;0.002;0.024;-0.019;0.026;-0.013
50;-0.073593;0.27034;0.028254;0.0090496;0.0027956;-0.09087;-0.30041;0.28587;0.028333;0.0054781;0.0014946;-0.071433;0.074;0.389;0.98;-0.001;0.025;-0.029;-0.024;-0.009;-0.026;-0.019;0.026;-0.013
55;-0.073592;0.27037;0.028251;0.0089655;0.0028531;-0.090726;-0.30043;0.28582;0.028321;0.0056324;0.0013521;-0.07134;0.074;0.389;0.98;-0.001;0.025;-0.03;-0.024;0.002;-0.026;-0.018;0.026;-0.013
60;-0.073621;0.27031;0.028223;0.0095729;0.0028148;-0.090813;-0.30049;0.28572;0.028321;0.0056033;0.0015166;-0.0711;0.074;0.389;0.98;-0.001;0.025;-0.029;-0.024;0.002;-0.026;-0.018;0.026;-0.013
65;-0.073592;0.27041;0.028275;0.0085791;0.0028933;-0.090736;-0.30045;0.28579;0.028311;0.0055475;0.0013842;-0.071108;0.07428;0.389;0.98;-0.001;0.025;-0.029;-0.024;-0.009;-0.026;-0.019;0.026;-0.013
70;-0.073655;0.27033;0.028258;0.0091978;0.0028067;-0.091152;-0.30045;0.28579;0.028322;0.0055152;0.0013537;-0.071217;0.074;0.389;0.98;-0.001;0.025;-0.029;-0.024;0.002;-0.026;-0.019;0.026;-0.013
75;-0.073616;0.27036;0.028261;0.0089741;0.0028523;-0.09096;-0.30044;0.2858;0.02835;0.0053845;0.0016811;-0.071338;0.074;0.389;0.98;-0.001;0.025;-0.029;-0.024;-0.009;-0.026;-0.019;0.026;-0.012
80;-0.07367;0.27033;0.028268;0.0092676;0.0026866;-0.091034;-0.3004;0.28586;0.028411;0.0049238;0.0022429;-0.071368;0.08296;0.38796;0.98;-0.001;0.025;-0.029;-0.035;0.002;-0.026;-0.019;0.026;-0.012
85;-0.073693;0.27027;0.028227;0.0094622;0.0028826;-0.091145;-0.30045;0.28578;0.02836;0.0054397;0.0015018;-0.071204;0.084;0.379;0.98;-0.001;0.025;-0.029896;-0.035;0.002;-0.076;-0.019;0.025;-0.012
90;-0.073682;0.27031;0.028255;0.0092912;0.0027763;-0.09112;-0.30043;0.28585;0.028389;0.0051794;0.0017266;-0.071453;0.084;0.379;0.98;-0.001;0.025;-0.029;-0.024;-0.009;-0.026;-0.019;0.025;-0.012
95;-0.073679;0.27035;0.02825;0.0095832;0.0026638;-0.091033;-0.30046;0.28581;0.028332;0.0056008;0.0013115;-0.071321;0.084;0.379;0.98;-0.001;0.024;-0.029;-0.024;-0.009;-0.026;-0.019;0.025;-0.012
100;-0.073674;0.27035;0.02828;0.0089019;0.0027728;-0.091084;-0.3005;0.28575;0.028327;0.0056879;0.0011879;-0.071218;0.084;0.369;0.98;-0.002;0.024;-0.029;-0.024;0.002;-0.026;-0.018;0.025;-0.012
105;-0.073714;0.27025;0.028227;0.0097328;0.0028277;-0.091278;-0.3005;0.28577;0.028349;0.0057515;0.0009126;-0.071431;0.084;0.369;0.98;-0.002;0.024;-0.029;-0.035;0.002;-0.026;-0.019;0.026;-0.012
110;-0.073663;0.27038;0.028288;0.009176;0.0028104;-0.091047;-0.30043;0.28589;0.028379;0.0053187;0.0014976;-0.071722;0.084;0.359;1.029;-0.002;0.024;-0.029;-0.024;0.002;-0.026;-0.019;0.026;-0.012
115;-0.073674;0.27035;0.028273;0.0092295;0.0027466;-0.091052;-0.30043;0.28587;0.028378;0.0051185;0.0018121;-0.07153;0.084;0.359;1.029;-0.002;0.024;-0.028352;-0.024;-0.009;-0.026;-0.019;0.026;-0.012
