Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073891;0.27022;0.028215;0.0083245;0.0032667;-0.091431;-0.30069;0.28618;0.028533;0.0044743;0.0022055;-0.072028;0.104;0.31896;1.126;0;0.023;-0.025;-0.057;-0.0035;-0.076;-0.018;0.025;-0.012
5;-0.073882;0.27021;0.028209;0.0083027;0.0033711;-0.091549;-0.30068;0.28613;0.028537;0.0046119;0.0020954;-0.071811;0.104;0.31;1.126;0;0.023;-0.025;-0.057;0.002;-0.076;-0.0185;0.025;-0.012
10;-0.073881;0.27015;0.028187;0.0084854;0.0032248;-0.09146;-0.3007;0.28611;0.028537;0.0047714;0.0018561;-0.071885;0.104;0.31;1.126;-0.001;0.023;-0.025;-0.0625;0.002;-0.076;-0.019;0.025;-0.012
15;-0.073808;0.27026;0.028238;0.0077614;0.0032967;-0.091131;-0.30071;0.28611;0.028502;0.0051;0.0013979;-0.071829;0.094;0.31;1.1246;-2.8e-05;0.023;-0.025;-0.057;0.0075;-0.076;-0.019;0.025;-0.012
20;-0.073877;0.27019;0.028188;0.0088371;0.0031523;-0.09153;-0.30071;0.28608;0.028468;0.0050736;0.0017101;-0.071712;0.094;0.31;1.126;-0.001;0.023;-0.025;-0.057;0.002;-0.076;-0.018;0.025;-0.012
25;-0.073896;0.27016;0.028186;0.0086929;0.0033269;-0.091618;-0.30068;0.28616;0.028504;0.0048922;0.0017188;-0.071923;0.094;0.31;1.077;0;0.023;-0.025;-0.057;0.0075;-0.076;-0.019;0.025;-0.012
30;-0.073878;0.27012;0.028171;0.0089069;0.0031836;-0.091536;-0.30066;0.28616;0.028528;0.0046494;0.0020303;-0.071953;0.104;0.31;1.077;0;0.023;-0.025;-0.057;0.0075;-0.076;-0.019;0.025;-0.012
35;-0.073839;0.27018;0.028198;0.0084637;0.0031826;-0.09137;-0.30066;0.28613;0.028527;0.0046875;0.0020811;-0.071941;0.104;0.32;1.077;-0.001;0.023;-0.025;-0.0515;0.002;-0.076;-0.018;0.025;-0.0125
40;-0.07384;0.27022;0.028209;0.0083809;0.0032532;-0.091464;-0.30068;0.28607;0.028509;0.0047642;0.002058;-0.071813;0.104;0.32;1.077;0;0.023;-0.025;-0.057;0.0075;-0.076;-0.019;0.025;-0.0125
45;-0.073863;0.27015;0.028194;0.0084156;0.0031952;-0.091545;-0.30072;0.28598;0.028471;0.0048908;0.0020457;-0.071557;0.104;0.32028;1.077;-0.001;0.023;-0.025;-0.057;0.002;-0.076;-0.019;0.025;-0.012
