Freq 200 --> Features: time;  objectRightX(m);objectRightY(m);objectRightZ(m);objectRight roll(radian);objectRight pitch (radian);objectRight yaw (radian);objectLeft X (m);objectLeft Y (m);objectLeft Z (m);objectLeft roll(radian);objectLeft pitch (radian);objectLeft yaw (radian);objectRightFx (N);objectRightFy (N);objectRightFz (N);objectRightTx (N m);objectRightTy (N m);objectRightTz (N m);objectLeftFx (N);objectLeftFy (N);objectLeftFz (N);objectLeftTx (N m);objectLeftTy (N m);objectLeftTz (N m)
0;-0.073629;0.27036;0.028204;0.0081762;0.0028427;-0.091002;-0.30042;0.2859;0.028373;0.005101;0.0017356;-0.071376;0.084;0.379;0.931;-0.002;0.028;-0.031;-0.035;0.002;0.024;-0.018;0.025;-0.013
5;-0.073659;0.27036;0.02822;0.0081148;0.0027017;-0.091076;-0.3004;0.28593;0.028389;0.0051056;0.0019245;-0.071423;0.084;0.379;0.931;-0.002;0.028;-0.031;-0.035;-0.007856;-0.026;-0.018;0.025;-0.013
10;-0.073609;0.27038;0.028218;0.00795;0.0028889;-0.09096;-0.30043;0.28586;0.028358;0.0054488;0.0017486;-0.071191;0.084;0.389;0.931;-0.002;0.028;-0.031;-0.035;0.011856;0.0188;-0.018;0.025896;-0.013
15;-0.073614;0.27035;0.028197;0.0084004;0.0027907;-0.091008;-0.30043;0.28585;0.028363;0.0054708;0.0018129;-0.071248;0.084;0.37928;0.931;-0.002;0.028;-0.031;-0.044856;0.002;0.024;-0.018;0.025;-0.013
20;-0.073669;0.27031;0.028176;0.0088366;0.0025322;-0.090964;-0.30038;0.28595;0.028377;0.0051488;0.0018398;-0.071378;0.084;0.379;0.931;-0.002;0.028;-0.031;-0.046;0.002;0.0188;-0.018;0.025;-0.013
25;-0.073653;0.27032;0.028198;0.0083064;0.0027056;-0.091008;-0.30039;0.28598;0.028394;0.004906;0.0024205;-0.071595;0.084;0.389;0.931;-0.002;0.028;-0.031;-0.035;0.002;0.024;-0.018;0.025;-0.013
30;-0.073613;0.27037;0.028209;0.0081884;0.0026348;-0.090826;-0.30041;0.28596;0.028411;0.0049439;0.002392;-0.07169;0.084;0.389;0.931;-0.002;0.028;-0.031;-0.035;0.002;0.024;-0.018;0.025;-0.013
35;-0.073624;0.27034;0.028212;0.0078345;0.0027174;-0.090841;-0.30042;0.2859;0.028383;0.0050883;0.0020622;-0.071386;0.084;0.389;0.882;-0.002;0.028;-0.031;-0.035;0.000856;0.024;-0.018;0.025;-0.013
40;-0.073677;0.2703;0.028198;0.0085812;0.0026475;-0.091144;-0.30043;0.28587;0.028354;0.0053355;0.0018382;-0.071201;0.074;0.399;0.882;-0.002;0.028;-0.031;-0.024;0.002;-0.026;-0.018;0.025;-0.013
45;-0.073688;0.27026;0.028174;0.0086938;0.0026629;-0.091172;-0.30044;0.28586;0.028338;0.0054148;0.0016158;-0.071287;0.074;0.39796;0.882;-0.002;0.028;-0.032;-0.035;0.002;-0.026;-0.018;0.026;-0.013
50;-0.073665;0.27027;0.028157;0.0088488;0.0027296;-0.091216;-0.3004;0.2859;0.028333;0.0054805;0.0014948;-0.071334;0.074;0.399;0.882;-0.002;0.028;-0.032;-0.035;0.000856;-0.026;-0.018;0.025104;-0.013
55;-0.073665;0.27034;0.028186;0.008597;0.002739;-0.091247;-0.30041;0.28592;0.028362;0.005111;0.0020911;-0.07132;0.074;0.408;0.882;-0.002;0.028;-0.032;-0.035;-0.007856;-0.0208;-0.018;0.025104;-0.013
60;-0.073602;0.27049;0.028238;0.0076799;0.0028548;-0.090968;-0.30043;0.28584;0.028334;0.0051865;0.0020759;-0.07106;0.074;0.408;0.882;-0.002;0.029;-0.032;-0.035;0.002;0.024;-0.018;0.025;-0.013
65;-0.073672;0.27035;0.028172;0.0091255;0.0026134;-0.091184;-0.30041;0.28589;0.028344;0.0054255;0.0017903;-0.071449;0.08048;0.41448;0.882;-0.002;0.028;-0.032;-0.035;-0.007856;0.024;-0.018;0.025;-0.013
70;-0.073678;0.27032;0.028188;0.00882;0.0026835;-0.091267;-0.30035;0.286;0.02842;0.0050841;0.0020442;-0.071562;0.07752;0.408;0.834;-0.002;0.029;-0.033;-0.044856;0.000856;0.024;-0.018;0.025104;-0.013
75;-0.073672;0.2703;0.02816;0.0087942;0.0027283;-0.09117;-0.30037;0.28596;0.028398;0.0053129;0.0018685;-0.071426;0.084;0.408;0.882;-0.002;0.029;-0.032;-0.046;0.002;0.024;-0.018;0.025;-0.013
